event_id,neutrino_energy,true dir,linefit best dir,linefit seed dir,linefit_ang_err,splinempe best dir,splinempe_ang_err
0,6143768.535052911,"[119.91803916565186, 291.66592833996316]","[119.58358259015084, 291.4813884547838]","[119.55672194793058, 291.47250712027324]",0.3708506735942912,[119.54733962 291.47218939],0.4070875571270925
1,43774935.55570004,"[113.49507587091223, 232.42867765400422]","[113.34439743591122, 231.08735139828332]","[113.28927205854924, 231.06946298583225]",1.2400086245219821,[113.17790656 231.13657911],1.2280555331622507
2,6817958.872617906,"[168.88331905994136, 229.48126436358024]","[169.20275847827665, 231.00900616074097]","[169.7458445258603, 230.8022784733391]",0.43167086922668124,[169.91205208 230.73950246],1.0543999218453939
3,1365152.5447911278,"[153.8171814362421, 129.16995642607586]","[153.7394501172019, 129.2580884599354]","[153.7500821918904, 129.0259740343686]",0.08693983750401568,[153.84206294 129.24837638],0.04260649600643697
4,4911106.902490504,"[131.0605741791034, 293.80217597154683]","[131.05855705708174, 293.96562227069137]","[130.9602934253764, 294.05840789846775]",0.12325943069817857,[130.99584352 294.01262205],0.17144689319529557
5,11473742.244535627,"[116.89550864129382, 339.77033418658186]","[117.11936078943327, 340.28456191125423]","[117.17762634636331, 340.5403133136792]",0.5099121542134514,[117.2386671  340.60808488],0.8211345680936718
6,46075276.6058241,"[150.4817543592391, 331.0716572485388]","[149.84443163377398, 330.9135565483027]","[149.7952901295451, 331.22063211287775]",0.6421581182481922,[149.92490189 331.19573723],0.5602554000227541
7,1622016.1944138932,"[137.8746619640565, 283.8596977428884]","[138.01016533881398, 284.27304982083126]","[138.09914494969507, 284.3118677918654]",0.30827215915939715,[138.02016144 284.2070048 ],0.2743845049457013
8,64071628.125639156,"[153.65189505805822, 139.81184520456978]","[153.57449894143107, 138.79385091616777]","[153.59070437071716, 138.6277885182041]",0.4589931887077974,[153.4709883  138.48645896],0.6172060811754319
9,2230478.0245585195,"[101.44765504963858, 264.3985854195892]","[101.31930830599211, 264.2814393204702]","[101.35367547899088, 264.1759359435719]",0.17222507586628066,[101.29786829 264.2849945 ],0.18664736550454383
10,77897553.3080452,"[91.89883515834549, 131.1680865386999]","[92.24488761479925, 130.59116324436147]","[92.19553180591137, 130.5918296380759]",0.672426009520109,[ 92.26843187 130.70093649],0.5954340013978462
11,2265144.447224165,"[163.23126730081722, 261.53907434011774]","[162.85952217022265, 260.8761012038044]","[162.82884380854338, 261.8519646520106]",0.4190072089043893,[163.14073243 261.5350174 ],0.09054248040667505
12,9992101.928688202,"[141.6317957803438, 116.34267804676917]","[143.64250626701485, 116.04794166858484]","[143.31338094614193, 115.62926660679148]",2.0186452707826894,[143.8323935  113.49226514],2.7962858642790542
